MMT EU CATEGORIES (DRAFT),Original MMT event categories,Schema.org/Event types,UTU event categories,City of Turku event categories,Eventbrite
Academic events,Parties,Business,Dissertation Defence,Theatre and other perfomance art,Business & Professional
- Dissertation defence,Academic events,Children,Celebration,Music,Online Conferences
- Symposium and congress,Culture,Comedy,Lecture,Exhibits,Online Classes
- Lectures and seminars,Activities,Course,Seminar,Museum,Health & Wellness
- Exams,,Dance,Testing and Training,Festivals and major events,Family & Education
- Workshop,,Delivery,Webinar,"Trips, cruises and tours",Community & Culture
- Vacation,,Education,Entrance Exam,Turku 2021,Science & Technology
- Other,,Exhibition,Release Event,Multiculturalism,Free events
Culture,,Festival,Meeting,Literature,Performing & Visual Arts
- Music,,Food,Training,Others,Charity & Causes
- Theater,,Hackathon,Presentation,Participation,Hobbies & Special Interest
- Exhibition,,Library,Exhibition,Sports,Religion & Spirituality
- Museum,,Music,Sports,Virtual events,Food & Drink
- Literature,,Publication,Workshop,Guided tours and sightseeing tours,"Film, Media & Entertainment"
- Cinema,,Sale,Event,Movies,Music
- Festivals,,Screening,Congress,Trade fair and fair,Home & Lifestyle
- Multicultural,,Social,Open Day,,Government & Politics
- Visual arts,,Sports,Symposium,,Sports & Fitness
- Sports,,Theater,Vacation,,Fashion & Beauty
- Community,,Visual arts,Public Lecture,,School Activities
- Comedy,,,Personnel Training,,Travel & Outdoor
Activities,,,Info Event,,"Auto, Boat & Air"
"- Trips, cruises and tours",,,Continuing Education,,Other
- Trade fairs,,,Visiting Lecture,,
- Hackathons,,,,,
- Learning,,,,,
Night life,,,,,
- Parties,,,,,
- Clubs,,,,,
Other,,,,,
- Business,,,,,
- Health and wellness,,,,,